Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1551,"0.3438 11/32 Inch, 140 Degree Point Angle, WD1 Coated, Solid Carbide Jobber Drill",75065078,,,MSC,55104311,OSG,128.54
1552,"0.3438 11/32 Inch, Solid Carbide, 140 Degree Point Angle, Spiral Type, WD1 Coated, Extra Length Drill Bit",42190694,,,MSC,554034312,OSG,462.73
1553,"0.0787 2.00 mm Diam, 1.6mm Length of Cut, 2 Flute, Solid Carbide, Ball End Mill",55450548,,,MSC,3052035,OSG,83.48
1554,"0.1831 4.65 mm, 140 Degree Point Angle, TiAlN Coated, Solid Carbide Jobber Drill",46810057,,,MSC,HP255-1831,OSG,53.51
1555,"1.0625 1-1/16 Inch Diameter, Carbide-Tipped, 8 Flute Chucking Reamer",72191042,Milling,ChamferMills,MSC,72191042,MSC,105.59
1556,U313.0078.156 TN35 PH HORN INSERT QIA,60685518,,,MSC,U313.0078.156,PH Horn,43.42
1557,LEX-009 (1.25 saw cut for uppers),Central - LEX-009,ENDMILLS,,Central,LEX-009,,0
1558,"0.0890 DIA AL SOLID DRILL, 12x LOF, TiB2",Iwen - DQW0890-C8,DRILL,,Central,DQW0890-C8,,0
1559,"0.0781 1.98mm DIA AL SOLID DRILL, 13.50mm LOC, 3.00mm Shank Dia, 5x LOF, TiB2",Iwen - BAF0781-C8,DRILL,,Central,BAF0781-C8,,0
1560,"0.1260 3.20 mm, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",80242514,,,MSC,1198564,Kennametal,70.6
1561,0.1180 D x 0.270 Long Reach Undercut End Mill,Iwen - 5283M-HAR,ENDMILLS,,Central,5283M-HAR,,0
1562,"0.1250 Cutting Dia, 6 OAL, #1 Center Drill, Long, HSS, 60 Degree, 0.0469 Point Dia. (Long)",Production - AV4221060,CENTERDRILL,,Central,AV4221060,,0
1563,"0.1250 Extra Long Drill, Viking",Travers- 01-138-008,DRILL,,Central,01-138-008,,0
1564,1.0010 Dia-HSS-Straight Shank/Straight Flute Chucking Reamer,Production- BD5610010,REAMER,,Central,BD5610010,,0
1565,6 Inch Diameter x 1/2 Inch Wide x 1 Inch Hole Deburring Wheel,1174721,Abrasives,DeburringWheels,MSC,48011095486,3M,57.86
1566,"16ER External Thread, Right Hand, 12 TPI, UN Laydown Threading Insert",971770,,,MSC,1712567,Kennametal,26.31
1567,"0.1875 Diam, 0.3750 Inch Length of Cut, 4 Flute, Solid Carbide, Ball End Mill",9199274,,,MSC,9199274,Accupro,15.58
1568,Iwen - WNMG 432-M3P IC8150,Iwen - 5567515,INSERTS,,Central,5567515,,0
1569,Iwen - CNMX 342-M3PW IC8250,Iwen - 5560553,INSERTS,,Central,5560553,,0
1570,Iwen - DNMG 432-F3P IC8150,Iwen - 5566819,INSERTS,,Central,5566819,,0
1571,0.1875 0.1250 Step Drill 0.125 and 0.1875,Iwen - HF2S-051716-562-ULT,DRILL,,Central,HF2S-051716-562-ULT,,0
1572,0.5000 1/2 D x 1 LOC x 3 OAL x 4 Flt 0.03 cr Apl,Iwen - 31512-HLS,ENDMILLS,,Central,31512-HLS,,0
1573,0.2500 1/4 D x 1/2 LOC x 2 1/2 OAL x 4 Flt 0.03 cr,Iwen - 43152-HLS,ENDMILLS,,Central,43152-HLS,,0
1574,0.2500 1/4 D x 1/8 LOC x 2 1/2 OAL x 4 Flt SqA,82906926 (Match Iwen 06138),ENDMILLS,,Central,82906926,Niagara,0
1575,0.5000 1/2 D x 1 LOC x 3 OAL x 8 Flute 0.03 Rad A plus Coating,Iwen - 36091,ENDMILLS,,Central,36091-HLS,Helical,0
1576,0.1875 3/16 D x 5/16 LOC x 2 OAL x 5 Flute 0.03 Rad A Plus,Iwen - 45062,ENDMILLS,,Central,45062-HLS,Helical,0
1577,0.1875 3/16 D x 5/16 LOC x 2 OAL x 5 Flute Square End A Plus,Iwen - 44062,ENDMILLS,,Central,44062-HLS,Helical,0
1578,"0.1772 4.5mm, 140 Degree Drill Point Angle, Spiral Flute, Screw Machine Drill Bit",50979210,DRILL,,Central,8630450,OSG,59.55
1579,"0.2520 Diameter, Solid Carbide, Chucking Reamer",55447148,Milling,ChamferMills,MSC,300-2520,OSG,34.26
1580,Al Plugs for Cyclops Tube,Al Plugs for Cyclops Tube,MISC ITEMS,,Central,Al Plugs for Cyclops Tube,,0
1581,TGFH 32K-3 (Cutoff Holder),Iwen - 2302374,TOOL HOLDERS,,Central,2302374,,0
1582,TAG N3J IC908 Cutoff Inserts,79777926,,,MSC,6003368,ISCAR METALS INC ,13.96
1583,Al Plugs for 103734,Al Plugs for 103734,MISC ITEMS,,Central,Al Plugs for 103734,,0
1584,0.3750 D x 1 LOC x 3 OAL x Aplus x 0.020 Rad,Iwen - 36061,ENDMILLS,,Central,36061,Helical,0
1585,M5 Stylus (Zeiss CMM Probe),Iwen: 626115-0151-040-ZEISS,Probes,,Central,626115-0151-040-ZEISS,Zeiss,0
1586,Stylus (Zeiss CMM Probe),602030-8061-000,Probes,,Central,602030-8061-000,Zeiss,0
1587,Stylus (Zeiss CMM Probe),600342-8021-000,Probes,,Central,600342-8021-000,Zeiss,0
1588,Stylus (Zeiss CMM Probe),602030-9019-000,Probes,,Central,602030-9019-000,Zeiss,0
1589,VNGG331 FS KCU10 Grade Carbide Turning Insert,92351915,,,MSC,5090817,Kennametal,17.65
1590,"11NR Internal Thread, Right Hand, 48-16 TPI, Partial Profile 60 Degree Laydown Threading Insert",679910,,,MSC,1679773,Kennametal,23.23
1591,WNMG431ENG AC2000,1595214,INSERTS,,Central,WNMG080404N-UG AC2000,Sumitomo,0
1592,A26-0228 (Drill for Aviator),A26-0228 (Drill for Aviator),DRILL,,Central,A26-0228 (Drill for Aviator),Accuromm,0
1593,A26-0230 (Reamer for Aviator),A26-0230 (Reamer for Aviator),REAMER,,Central,A26-0230 (Reamer for Aviator),Accuromm,0
1594,"1.3268 33.70 mm M33.7x4, Precision Threading, Reconditioned",Tapsaver Recondition,TAPS,TAPS_Bushings,Central,"M33.7 x 4 Tap, Reconditioned",Precision Threading Corp,0
1595,"1.3750 1.375-6, Precision Threading, Reconditioned",Tapsaver Recondition,TAPS,TAPS_Bushings,Central,"1.375-6 Tap, Reconditioned",Precision Threading Corp,0
1596,0.2500 1/4D x 3/8 LOC x 2 OAL 4 Flt BN APlus,42495408,,,MSC,56137-HLS,Helical,22.73
1597,"1.0047 Reamer, 8 Flute, Straight, 0.875 shank",30146419,Holemaking,ChuckingReamers,MSC,2298552,Hertel,111.74
1598,HSK 63A Coolant Tube,76716612,,,MSC,86741,Seco,22.98
1599,0.5000 Reconditioned -  1/2 D x 1 LOC x 3 OAL x 4 Flt 0.03 cr Apl,,ENDMILLS,,Central,31512 Recondition,31512 - Iwen,0
1600,"0.5000 Reconditioned - .500 Helical - SC, Aplus, 5 FL, 2"" LOC, 4"" OAL, .030 CR",,ENDMILLS,,Central,34307 Recondition,34307 - Iwen,0
1601,"Facemill Insert Screws (Iscar 2"""" HM90)",,INSERTS,,Central,SR 14-544/S,Iwen - 7000402,0
1602,0.3750 x 15 degree chamfer mill,Iwen - 18415-C3 (Harvey),ENDMILLS,,Central,18415-C3,Iwen - 18415-C3,0
1603,"Clean-Tec Fan, Lang, 260 mm Dia, 3/4 Shank",134260 (Lang),MISC ITEMS,,Central,134260,Lang,0
1604,DNMG 331-F3M IC807,5568874 -Iwen,INSERTS,,Central,5568874,Iscar,0
1605,"2"" Burr-Rx Disc Brush, High, Aggression .055/80",85733-WEI (Iwen),BRUSH,,Central,85733-WEI,Weiler,0
1606,"0.4375 7/16-20 UNF, H8, TiCN Coated, Cobalt, Thread Forming Tap",70647359,,,MSC,1625076208,OSG,74.52
1607,"0.4134 10.50 mm, 140 Degree Drill Point Angle, Spiral Flute, Screw Machine Drill Bit",50979707,,,MSC,8631050,OSG,131.47
1608,"0.2047 5.20mm 140° Solid Carbide Jobber Drill EgiAs Finish, Right Hand Cut, Spiral Flute, Straight Shank, 100mm OAL",48804207,,,MSC,8692520,OSG,87.4
1609,ADKT 1505PDR-HM IC928 (Facemill Inserts Steel),63697601 (Iscar 5692407),INSERTS,,Central,5692407,Iscar,0
1610,"0.4055 Inch, 140 Degree Drill Point Angle, Spiral Flute, Screw Machine Drill Bit",50979681,,,MSC,8631030,OSG,131.47
1611,"0.4375 7/16-14 UNC, H8, TiCN Coated, Cobalt, Thread Forming Tap",70647367,,,MSC,1625076148,OSG,74.52
1612,"0.3125 5/16-18 UNC, H7, TiCN Coated, Cobalt, Thread Forming Tap",70647441,,,MSC,1625056187,OSG,58.2
1613,"0.2874 Inch, 140 Degree Drill Point Angle, Spiral Flute, Screw Machine Drill Bit",50979459,,,MSC,8630730,OSG,89.95
1614,"0.2535 Inch Diameter, Left Hand Spiral, Solid Carbide, 6 Flute Chucking Reamer",78104981,Holemaking,ChuckingReamers,MSC,88860006440,Magafor,100.75
1615,"0.2528 Inch Diameter, Left Hand Spiral, Solid Carbide, 6 Flute Chucking Reamer",78104965,Holemaking,ChuckingReamers,MSC,88860006420,Magafor,100.75
1616,0.2520 6.40 mm OSG - 48170064 - Jobber Length Drill Bits | Drill Bit Size (mm): 6.40,36460863,,,MSC,48170064,OSG,88.51
1617,SIL-001 (Silicone dovetail mask),SIL-001 (Americo),MISC ITEMS,,Central,SIL-001,,0
1618,0.2500 Silicone Plug,0.250 Silicone Plug (MIT Powder),MISC ITEMS,,Central,0.250 Silicone Plug,MIT Powder Coat,0
1619,"0.1900 #10-32 Bolt, Modified, Masking",90181A838 (McMaster),MISC ITEMS,,Central,90181A838,"McMaster, then Modified",0
1620,"0.1900 #10-32 Set Screw, Mask",92311A427 (McMaster),MISC ITEMS,,Central,92311A427,McMaster,0
1621,"0.4375 7/16-20 Set Screw, Mask",25654 (Fastenal),MISC ITEMS,,Central,25654,Fastenal,0
1622,1.2500 rubber plugs for tubing,9283K15 (McMaster),MISC ITEMS,,Central,9283K15,McMaster,0
1623,6.0000 Inch Diameter x 1/2 Inch Wide x 1 Inch Hole Heavy Duty Deburring Wheel,81243834,Abrasives,DiscBrushes,MSC,66261114607,BRITE STAR,44.72
1624,"2.0000 Inch Diameter, 60 Grit Aluminum Oxide Quick Change Disc",222596,Abrasives,Swivel&ScraperBlades,MSC,51144224005,3M,1.0216
1625,"0.1250 1/8 Inch Diameter, 1/8 Inch Shank, 60 Degree Inc, Solid Carbide, Conical Point Eng Cutte",44046928,,,MSC,EN125-60,Scientific,14.58
1626,"0.1890 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",8000226,,,MSC,1198580,Kennametal,76.75
1627,0.1980 Chucking Reamers | Reamer Diameter (Decimal Inch): 0.1980 | Reamer Material: High Speed Steel,30157481,Holemaking,ChuckingReamers,MSC,30157481,Hertel,40.59
1628,"0.3071 7.80 mm, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",81830259,,,MSC,1198620,Kennametal,100.45
1629,"0.3165 Inch Diameter, High Speed Steel, 6 Flute Chucking Reamer",5933569,Holemaking,ChuckingReamers,MSC,10581,Alvord Polk,24.46
1630,"0.1654 4.20 mm, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",80242555,,,MSC,1198572,Kennametal,72.9
1631,"0.1823 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36233633,,,MSC,5072505,Walter-Titex,43.38
1632,"0.1783 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36233716,Holemaking,ChuckingReamers,MSC,5072495,Walter-Titex,43.38
1633,"0.1390 Inch Diameter, Left Hand Spiral, Cobalt, 6 Flute Chucking Reamer",36234185,Holemaking,ChuckingReamers,MSC,5072395,Walter-Titex,37.26
1634,"0.1260 3.20 mm, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",80242514,,,MSC,1198564,Kennametal,70.6
1635,"0.0984 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36240307,Holemaking,ChuckingReamers,MSC,5071861,Walter-Titex,19.19
1636,"0.0988 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36239911,Holemaking,ChuckingReamers,MSC,5072293,Walter-Titex,37.26
1637,"0.0980 Inch Diameter, Left Hand Spiral, Cobalt, 4 Flute Chucking Reamer",36251668,Holemaking,ChuckingReamers,MSC,5072291,Walter-Titex,44.35
1638,"0.3150 Inch Dia, 25/32 Inch Length of Cut, 2 Flutes, 90DEG, Solid Carbide Drill Mill",78715331,,,MSC,13380,Melin Tool,96.66
1639,0.4331 11.00mm L9816 AQUA DRILL EX FLAT LONG SHANK,50353929,,,MSC,718502,Nachi Drill,234.31
1640,"0.3125 Keyseat Cutter, 0.0781 length of cut, 6 flutes, uncoated",69740-HAR (Iwen),KEYWAY CUTTER,,Central,69740,Harvey,0
1641,"0.3750 Keyseat Cutter, 0.1250 DOC, 0.1150 RDC, 8 Flute",71160-HAR (Iwen),KEYWAY CUTTER,,Central,71160,Harvey,0
1642,"0.0600 Diameter End Mill, 0.3120 LOC, 5 Flute, TiB2 coating",66760-C8 (Iwen),ENDMILLS,,Central,66760-C8,Harvey,0
1643,"0.0520 1.32 mm Diameter Drill, 9.00 mm flute length, 3.00 mm shank",BAF0520-C8 (Iwen),DRILL,,Central,BAF0520-C8,Harvey,0
1644,"0.2500 Diameter Dovetail Cutter, 60 degree angle",995216-HAR (Iwen),ENDMILLS,,Central,995216,Harvey,0
1645,DGW-PRB10200A-1 Form Tool,DGW-PRB10200A-1 (RTS Cutting),ENDMILLS,,Central,DGW-PRB10200A-1,RTS Cutting,0
1646,0.6299 16.00 mm 16MM-RAD-T-SLOT Form Tool,16MM-RAD-T-SLOT Form Tool (MC),ENDMILLS,,Central,16MM-RAD-T-SLOT Form Tool,MC Carbide,0
1647,0.6200 .62 PIC RAIL SLOT TOOL,.62 PIC RAIL SLOT TOOL (TJ Carb),ENDMILLS,,Central,.62 PIC RAIL SLOT TOOL,TJ Carbide,0
1648,0.2362 6.00 mm 6144067 End Mills | Mill Diameter (mm): 6.00 | End Type: Corner Chamfer,38022422,,,MSC,6144067,Kennametal,37.84
1649,0.0591 PH Horn Saw Insert (MSC 82460791 modified to 61241659),61241659,,,MSC-Spot Buy,61241659,PH Horn (Cougar Cutting modify),329.32
1650,"0.1563 5/32 Inch, 140 Degree Point Angle, Multilayer TiAlN Coated, Solid Carbide Jobber Drill",76293182,,,MSC,4149192,Kennametal,59.15
1651,"0.1285 #30, 140 Degree Drill Point Angle, Spiral Flute, Screw Machine Drill Bit",76273895,,,MSC,4151105,Kennametal,46.98
1652,"0.1969 5.00 mm, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",80242373,,,MSC,1191612,Kennametal,77.19
1653,"0.3750 3/8 Inch, 130 Degree Point, Solid Carbide, Straight Flute Drill Bit",81830705,,,MSC,1201039,Kennametal,146.78
1654,"0.1250 1/8 Inch Diam, 1/8 Inch Length of Cut, 2 Flute, Solid Carbide, Ball End Mill",91721035,,,MSC,HP419-1250,OSG,43.09
1655,"0.0980 Dia Al Solid Drill, 12X LOF, TiB2",DQW0890-C8 (Iwen),DRILL,,Central,DQW0890-C8,Harvey,0
1656,0.3750 3/8 Dia x 1 1/2 LOC x 4 OAL x 3 Flute Sq ZPlus,01377-HLS (Iwen),ENDMILLS,,Central,01377-HLS,Helical,0
1657,0.2500 Dia x 2.00 Reach Flat End Cbore AlTiN,25516-C3-HAR (Iwen),DRILL,,Central,25516-C3-HAR,Harvey,0
1658,"0.3750 Dia 3/8 x 3/8 x 1/2 x 3 1/8 x 6, Reduced Neck",19235 (Iwen),ENDMILLS,,Central,19235,Helical,0
1659,0.5000 Dia Undercut End Mill 1/2D x 270 x 6XLR Undercut,928832-HAR (Iwen),ENDMILLS,,Central,928832-HAR,Harvey,0
1660,ADKT 1505PDR-HM IC20 (Facemill for Al),5600515 (Iwen),INSERTS,,Central,5600515,Iscar,0
1661,"Torx Screw, TS-4.7-10M1",41T320 (Grainger),INSERTS,,Central,41T320,Dorian (73310190982),0
1662,TS-25.45-6M2,71318281,,,MSC,73310190972,Dorian Tool,2.77
1663,"0.1181 3.00 mm 2 Flute End Mill, Square, AlTiN, 0.177 LOC",50204-C3 (Iwen),ENDMILLS,,Central,50204-C3,Harvey,0
1664,"0.6250 Keyseat Cutter, 0.250 width, 0.3125 reduced Shank",70980 (Iwen),KEYWAY CUTTER,,Central,70980,Harvey,0
1665,LCGR-3 Clamp (DDJNR/L Holder),LCGR-3 (Iwen),TOOL HOLDERS,,Central,LCGR-3,Iwen,0
1666,8.0000 Inch Diameter x 1/2 Inch Thick Unmounted Buffing Wheel,533463,Abrasives,WheelBrushes,MSC,52640-8,Dico,21.34
1667,Pro Touch Off Gage (Edge Technology),04-000,INDICATOR,,Central,04-000,Edge Technology,0
1668,"0.2087 5.30mm, 8mm LOC, 2 Fl, SC, WXL Coated, 6mm Shank, 50mm OAL, Spiral Flute, 30 Deg Helix",68643931,,,MSC,3181853,OSG,56.36
1669,6.000 HS Flex-N-Finish Abrasive Wheel,53187-2-PREFER (Iwen),DEBURR,,Central,53187-2,Preferred Abrasives,0
1670,"0.6950 7/8-8 to 7/8-24, 0.695 Inch Cutting Diameter, 6 Fl Solid Carbide Single Profile Thread Mill",40232993,,,MSC,SPTM695L,"SCIENTIFIC CUTTING TOOLS, INC.",190.5
1671,"0.3701 9.40 mm 140 Degree Drill Point Angle, Spiral Flute, Drill, SC, WXL Coat, 47 mm fl, 106 mm OAL",36463628,,,MSC,8665940,OSG,117.43
1672,"0.1250 Diver 1/4 Inch Length of Cut, 4 Flute, Solid Carbide, Corner Chamfer End Mill",56151988,,,MSC,9.07E+12,Guhring,22.73
1673,"0.5000 1/2-28 UNEF, 0.4 Inch Cutter Diameter, 4 Flutes, Solid Carbide Helical Flute Thread Mill",55137814,,,MSC,TM400-28HA,Scientific,193.46
1674,"0.5000 1/2-24 UNS, 0.4 Inch Cutter Diameter, 4 Flutes, Solid Carbide Helical Flute Thread Mill",45712411,,,MSC,TM400-24HA,Scientific,188.81
1675,"0.0620 Harvey End Mill, 7 Flute, Variable Helix, 0.312 Reach, AlTiN",62662-C6 (Iwen),ENDMILLS,,Central,62662-C6,Harvey,0
1676,"0.2500 End Mill, 5 Flute, 0.060 cr, Variable Pitch, Aplus coat",45108 (Iwen),ENDMILLS,,Central,45108,Helical,0
1677,"0.5000 64 degree included, 3 Flute, End Mill, Aplus",HSSP-102512 (Iwen),ENDMILLS,,Central,HSSP-102512,Helical (Special),0
1678,0.5000 Baffle C1 Form Tool,09-0001 Rev-A (Detterbeck),ENDMILLS,,Central,09-0001 Rev-A,Detterbeck,0
1679,"1.0000 Flex Hone Brush, 120 Grit",MJ731120 (Prod Tool),DEBURR,,Central,BC10012,Brush Research,0
1680,0.1920 Reamer - Custom,"0.192 Reamer,6 OAL,(PrimaryTool)",REAMER,,Central,"0.192 Reamer, 6 OAL",Primary Tool,0
1681,0.2500 1/4X1/4X3/8X2-1/2 ZIR    SC 3FL BALL SEM F/ALUM,3288024,,,MSC,35025006BNC5,ACCUPRO (PROGRESSIVE EM'S),22.42
1682,1.2750 32.50 mm  ICM1275 IC908 CARB RPL DRILL TIP INSERT,50094184,,,MSC,5568416,ISCAR METALS INC,153.06
1683,CPGT32.51 LF KC5010 Grade Carbide Turning Insert,4216925,,,MSC,1310878,KENNAMETAL (INDEXABLE),19.25
1684,"16NR Internal Thread, RH, 48-8 TPI, Partial Profile 60 Degree Laydown Threading Insert KC5025",5733902,,,MSC,1743929,Kennametal,24.77
1685,CCMT21.51 LF KC5010 Grade Carbide Turning Insert,1783182,,,MSC,1869821,Kennametal,16.5
1686,"Top Notch Series, NT1, LH, Internal Partial Profile 60 Degree Threading Insert, 12-24 TPI, KC5025",2255198,,,MSC,1799239,Kennametal,12.6
1687,"0.1260 3.20 mm 140 De, Spiral Flute, Drill, SC, WXL Coating, 20 mm flute, 74 mm OAL",36465474,,,MSC,8665320,OSG EXO-DRILLS,58.81
1688,SMYI Square Shim for threading bar,50094184,,,MSC,5568416,ISCAR METALS INC,153.06
1689,"0.5000 Ball Nose End Mill, 4 Flute, Variable Pitch, Aplus coat",56497 (Iwen),ENDMILLS,,Central,56497,Helical,0
1690,1.4960 38.00 mm Flex Hone 120 Grit,MJ73150120 (Prod Tool),DEBURR,,Central,BC11212,Brush Research,0
1691,"0.5000 6 Flute End Mill, 1 LOC, 3 OAL, Sq End, Aplus",59263 (Iwen),ENDMILLS,,Central,59263,Helical,0
1692,"0.5000 End Mill, 5 Flute, 0.030 CR, AlTiSIN",42515288,,,MSC,6503080,ACCUPRO (BMH),50.77
1693,"0.5000 Sq End Mill, 7 Flute, Finisher, AlTiCrN, 1.25 LOC",42527309,,,MSC,6503247,ACCUPRO (BMH),40.13
1694,"0.0866 2.20 mm SC Drill, Through Coolant",53969879,,,MSC,5VHY416,"SUMITOMO ELECTRIC CARBIDE,INC.",69.83
1695,"0.2598 6.60 mm, SC Drill, 140 Deg, WXL Coating",36464758,,,MSC,48169066,OSG EXO-DRILLS,80.88
1696,"0.2913 7.40 mm,  SC Drill, 140 Deg, WXL Coating",36462570,,,MSC,8665740,OSG EXO-DRILLS,95.83
1697,"0.1563, SC Drill, 140 Deg, WXL Coating",36464261,,,MSC,520015612,OSG EXO-DRILLS,59.42
1698,"DFT05T308 GD KCU40 Grade Carbide Indexable Insert Drill, Trigon",58498593,,,MSC,5066015,KENNAMETAL (INDEXABLE),15.44
1699,"0.5906 15.00 mm Ball Nose End Mill, 4 Flute, SC, TiAlN",87080404,,,MSC,N57617,NIAGARA (CARBIDE EM'S) SECO,169.17
1700,0.0620 Insert for M313 PH Horn M313,48753107,,,MSC,U313006200TN35,HORN USA,48.82
1701,"0.5000 End Mill, 6 Flute, Sq, HEV-6",59264 (Iwen),ENDMILLS,,Central,59264,Helical,0
1702,"0.5000 End Mill, 60 Deg Inc, 3 Flute, HPCM60",07003 (Iwen),ENDMILLS,,Central,7003,Helical,0
1703,"0.5000 End Mill, 71 Deg Included, 3 Flute",71 Degree End Mill (Primary),ENDMILLS,,Central,71 Degree End Mill,Primary,0
1704,0.3780 9.60 MM  5210 9.6MM 140D WXL  WDO-SUS 5XD CLNT DR F/SS,36460038,,,MSC,8667960,osg,150.7
1705,"0.5000 1/2X1/2X2X4"""" 7FL SC ALTICRN SQ SEM",42528430,,,MSC,6503352,ACCUPRO,55.89
1706,"0.5000 Brush, 3.5 OAL, 120 Grit",63764856,BRUSH,,Central,21759,Weiler,0
1707,"0.2600 Nylox Micro Abrasive Tube Brush, Stem 0.115",26909 (Iwen),BRUSH,,Central,26909,Weiler,0
1708,"Kennametal - G0300 DF KCU25 Grade, 0.118 Inch Cutting Width, Carbide Single Grooving Insert",58484940,,,MSC,4114381,KENNAMETAL (INDEXABLE),13.97
1709,"0.2500 End Mill, Diver, 4 Flute, 0.063 corner rad",36524882,,,MSC,9.07E+12,Guhring,33.41
1710,"1.5000"""" Bore-Rx Internal Brush",17211-WEI (Iwen),BRUSH,,Central,17211,Weiler,0
1711,"1.2500"""" Bore-Rx Internal Brush",17210-WEI (Iwen),BRUSH,,Central,17210,Weiler,0
1712,"1.0000"" Power Tube Brush, 0.008 SS Wire Fill",21087-WEI (Iwen),BRUSH,,Central,21087,Weiler,0
1713,"0.5000 0.12"" Radius, 5/8"" Length of Cut, 5 Flute, Solid Carbide, Corner Radius End Mill",42514257,,,MSC,6502984,ACCUPRO (BMH),49.9
1714,Sumitomo - DNMG432 EEG AC6030M Grade Carbide Turning Insert,59080333,,,MSC,196CCGB,"SUMITOMO ELECTRIC CARBIDE,INC.",14.62
1715,0.5000 Micro100 Single Point Threading Tool 1/2-28,IT-3601000 (Prod Tool),Boring Bar,,Central,IT-3601000,Micro100,0
1716,CPGT32.51 LF KC5025 Grade Carbide Turning Insert,67687236,,,MSC,1866622,KENNAMETAL,19.25
1717,DNMG432FW KCU10 Insert (wiper)  KMT CARB TURNING INSERT,89160881,,,MSC,4053383,KENNAMETAL (INDEXABLE),22.04
1718,"0.0840 R0205 GMN KCU10 Grade, 0.0807 Inch Cutting Width, Carbide Double Grooving Insert",64409055,,,MSC,4034814,KENNAMETAL (INDEXABLE),20.39
1719,CNMG432EEG AC6030M CARB TURNING INSERT,31814775,,,MSC,196CCFY,"SUMITOMO ELECTRIC CARBIDE,INC.",11.51
1720,1.3125 1.3125-28 2B Tap,Amazon,TAPS,,Central,Amazon,Amazon,0
1721,"0.0787 2.00 mm Ball Nose End Mill, 2 Flute, SC",90562 (Morse),ENDMILLS,,Central,"90562 (Morse, Prod Tool)",Morse,0
1722,"0.1250 Ball Nose End Mill, Long Reach, 4 Flute, Var Helix",64308-C3 (Iwen),ENDMILLS,,Central,64308-C3,Harvey (Iwen),0
1723,"0.5000 120DEG Inc Chamfer Mill, 3 Flute, Coated, SC",07017 (Iwen),CHAMFERMILL,,Central,7017,Helical,0
1724,"0.1181 Groove Insert, 3 Tooth, Horn 313 System",313.0300.00 TN35 (Iwen),KEYWAY CUTTER,,Central,313.0300.00 TN35,PH Horn (Iwen),0
1725,"0.4724 12.00 mm Ball Nose End Mill, 4 Flute, TiCN Coated, SC",7338205,,,MSC,7338205,Accupro,60.94
1726,"0.1563 5/32"", 140° Point Angle, Spiral Flute, Drill, SC, WXS Coated, 24mm Flute, 62mm OAL",77652949,,,MSC,595015611,OSG,71.32
1727,"0.2618 6.65 mm 140° Point Angle, Spiral Flute, Drill, SC, WXS Coated, 34mm Flute, 83mm OAL",55470884,,,MSC,595026211,OSG,94.25
1728,"0.3740 9.50 mm 140° Point Angle, Spiral Flute, Drill, SC, WXS Coated, 48mm Flute, 106mm OAL",55469506,,,MSC,595037411,OSG,140.92
1729,"DFT05T308 MD KC7140 TiN/TiCN Coat, Trigon, 0.315"" Inscribed, 0.1476"" Thick, 0.0315"" Rad, 8° Relief",1260371,,,MSC,1713513,KENNAMETAL (INDEXABLE),14.38
1730,"DFR030204 LD KC7140 Grade Carbide  TiN Coated,0.2362"" Inscribed Circle, 6"" Thick, 0.4mm Corner Rad",36653756,,,MSC,5533632,KENNAMETAL (INDEXABLE),12.23
1731,"DFR040304 LD KC7140 Grade Carbide TiN Coated,, 0.315"" Inscribed, 0.2906"" Thick, 0.4mm Corner Rad",36653764,,,MSC,5533633,KENNAMETAL (INDEXABLE),13.64
1732,"DFT05T308 MD KCU40 Grade TiN/TiAlN, Trigon, 0.315"" Inscribed, 0.1476"" Thick, 1/32"" Rad, 8° Relief",37305513,,,MSC,5066014,KENNAMETAL (INDEXABLE),15.44
1733,"0.5311 Series KenTIP, 0.5311 Inch Diameter Replaceable Drill Tip AlTiN Coated, 140° Inc Angle",51210730,,,MSC,4158967,Kennametal,72.66
1734,"0.3031 7.70 mm 140° Point Angle, Spiral Flute,Drill, SC, WD1 Coated, 41mm Flute Length, 79mm OAL",81686552,,,MSC,3320770,OSG EXO-DRILLS,64.77
1735,"0.3150 8.00 mm Solid Carbide 6 Flute Chucking Reamer Straight Shank, 1-1/8"" Flute Length, 3-1/4"" OAL",79891339,Holemaking,ChuckingReamers,MSC,500-004008,HERTEL (MT),76.16
1736,Mobile PiWeb Station,,MISC ITEMS,,Central,Mobile PiWeb Station,,0
1737,TAG N3J IC808 Cutoff Inserts (6003578),66588831,,,MSC,6003578,ISCAR METALS INC,11.42
1738,RA105.1030.2.2 TI25 Trepan Insert,70457817,INSERTS,,Central,RA105.1030.2.2,PH Horn,0
1739,"Form Tool, Baffle Undercut",03-0018 (Primary),,,Central,03-0018,Primary,0
1740,"Form Tool, 60 Degree Drill",03-0020 (Primary),DRILL,,Central,03-0020,Primary,0
